Title,Company,Experience,Location,Salary,Skills,Date,Domain
Presales - Cloud Architect,Binary Global,5-10 Yrs ,New Delhi ,Not disclosed,. Analysing and gathering business requirements from large and complex client environme...,17-10-2024,Cloud Architecture
Multi Cloud Architect,PwC India,7-12 Yrs ,"Hyderabad, Bengaluru, Mumbai (All Areas) ",Not disclosed,Experience : 8-12Years . Level : Manager .,12-10-2024,Cloud Architecture
"Consultant and cloud Architect""",EXITING OPPORTUNITY WITH BIG 5 - CLOUD ARCHITECT/CONSULTANT,5-10 Yrs ,"Hybrid - Pune, Delhi / NCR, Mumbai (All Areas) ",Not disclosed,"Mandatory skills - Cloud Architect, App modernization, cloud native any technologies, C...",11-10-2024,Cloud Architecture
GCP Cloud Architect,Datametica,6-11 Yrs ,"Hybrid - Hyderabad, Pune, Bengaluru ",Not disclosed,Cloud ArchitectWe at Datametica Solutions Private Limited are looking for a GCP Cloud A...,17-10-2024,Cloud Architecture
Cloud Architect,Indium Software,12-15 Yrs ,Hybrid - Chennai ,25-27.5 Lacs PA,Includes proficiency in cloud migration strategies and cloud setup best practicesAWS / ...,18-10-2024,Cloud Architecture
Cloud Architect,66degrees,3-8 Yrs ,Bengaluru ,Not disclosed,"At 66degrees, we believe in embracing the challenge and winning together. These valu...",10-10-2024,Cloud Architecture
Cloud Architect,Tetrahed Inc,12-16 Yrs ,Bengaluru ,Not disclosed,Skill & ExperienceProduction Grade experience in setting up GKE Enterprise (Earlier kno...,11-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,7-12 Yrs ,Bengaluru ,Not disclosed,Project Role :Cloud Platform ArchitectProject Role Description :Oversee application arc...,09-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,5-9 Yrs ,Bengaluru ,Not disclosed,". 15 year of full time educationThis can include cloud adoption plans, cloud applicatio...",09-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,7-12 Yrs ,Ahmedabad ,Not disclosed,Educational Qualification : 15 years full time education. Summary :As a Cloud Platform ...,08-10-2024,Cloud Architecture
Cloud Architect,Siemens,5-11 Yrs ,Pune ,Not disclosed,Even better if: . You are well versed in cybersecurity architecture and processes . You...,15-10-2024,Cloud Architecture
Cloud Architect,Infosys,9-14 Yrs ,Bengaluru ,Not disclosed,Experience in defining new architectures and ability to drive project from architecture...,11-10-2024,Cloud Architecture
Cloud Architect,Infosys,9-14 Yrs ,Bengaluru ,Not disclosed,Experience in defining new architectures and ability to drive project from architecture...,09-10-2024,Cloud Architecture
IBM Cloud Architect,IBM,5-9 Yrs ,Bengaluru ,Not disclosed,Proficiency in designing and implementing of IBM Cloud backup solutions such as Veeam a...,12-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,5-10 Yrs ,Pune ,Not disclosed,Minimum 5 year(s) of experience is required. Educational Qualification : Min 15 years o...,09-10-2024,Cloud Architecture
Manager/ Architect - Cloud Services,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE),10-15 Yrs ,Hyderabad ,20-35 Lacs PA,"Extensive experience in designing, implementing, and managing GCP solutions in a techni...",17-10-2024,Cloud Architecture
